epoch,lr-AdamW,step,train_loss,val_dir_f1_A,val_dir_f1_B,val_dir_f1_macro,val_fullstop_recall,val_loss,val_signed_mae_A,val_signed_mae_B,val_signed_mae_avg
,0.001,0,,,,,,,,,
0,,382,,0.4282221794128418,0.5408374071121216,0.4845297932624817,0.019108280539512634,0.9822953343391418,16.42963218688965,21.67729377746582,19.053462982177734
0,,382,0.3960541784763336,,,,,,,,
,0.001,383,,,,,,,,,
1,,765,,0.4204370081424713,0.4888565242290497,0.4546467661857605,0.006369426846504211,1.003204107284546,17.016040802001953,23.39449119567871,20.20526695251465
1,,765,0.3628036081790924,,,,,,,,
,0.001,766,,,,,,,,,
2,,1148,,0.4055967926979065,0.42721253633499146,0.416404664516449,0.012738853693008423,0.9984440207481384,17.083532333374023,25.018177032470703,21.050853729248047
2,,1148,0.3575291037559509,,,,,,,,
,0.001,1149,,,,,,,,,
3,,1531,,0.4280673861503601,0.4976753294467926,0.46287137269973755,0.025477707386016846,1.0374596118927002,17.097553253173828,22.714025497436523,19.90578842163086
3,,1531,0.34956303238868713,,,,,,,,
,0.001,1532,,,,,,,,,
4,,1914,,0.45997220277786255,0.5879524350166321,0.5239623188972473,0.07006369531154633,1.0167535543441772,16.394567489624023,21.822017669677734,19.108291625976562
4,,1914,0.3481559455394745,,,,,,,,
,0.001,1915,,,,,,,,,
5,,2297,,0.44176986813545227,0.4975728690624237,0.469671368598938,0.0,1.0979336500167847,18.38981056213379,21.728029251098633,20.05891990661621
5,,2297,0.3454231917858124,,,,,,,,
,0.001,2298,,,,,,,,,
6,,2680,,0.4286305606365204,0.5108758211135864,0.4697531759738922,0.012738853693008423,1.0629165172576904,16.97159194946289,23.441768646240234,20.206680297851562
6,,2680,0.3427974283695221,,,,,,,,
,0.0001,2681,,,,,,,,,
7,,3063,,0.41550713777542114,0.4994235634803772,0.45746535062789917,0.006369426846504211,1.046038269996643,17.245922088623047,22.997982025146484,20.121952056884766
7,,3063,0.32635948061943054,,,,,,,,
,0.0001,3064,,,,,,,,,
8,,3446,,0.4100772440433502,0.5036846995353699,0.45688098669052124,0.025477707386016846,1.0699419975280762,17.23601722717285,22.533349990844727,19.88468360900879
8,,3446,0.32428425550460815,,,,,,,,
,0.0001,3447,,,,,,,,,
9,,3829,,0.4222317934036255,0.4918470084667206,0.45703938603401184,0.019108280539512634,1.0954184532165527,17.60700035095215,22.491798400878906,20.04939842224121
9,,3829,0.3241901695728302,,,,,,,,
,0.0001,3830,,,,,,,,,
10,,4212,,0.4073009788990021,0.48891159892082214,0.4481062889099121,0.012738853693008423,1.0818556547164917,17.74203872680664,22.747495651245117,20.244768142700195
10,,4212,0.32170939445495605,,,,,,,,
,0.0001,4213,,,,,,,,,
11,,4595,,0.4113128185272217,0.48879843950271606,0.45005562901496887,0.012738853693008423,1.0757066011428833,17.670185089111328,23.152238845825195,20.411212921142578
11,,4595,0.32157304883003235,,,,,,,,
,0.0001,4596,,,,,,,,,
12,,4978,,0.39326420426368713,0.49437209963798523,0.4438181519508362,0.019108280539512634,1.0608195066452026,17.297100067138672,22.98188591003418,20.139493942260742
12,,4978,0.3206753432750702,,,,,,,,
,0.0001,4979,,,,,,,,,
13,,5361,,0.4204621911048889,0.48208773136138916,0.45127496123313904,0.03184713423252106,1.078452467918396,17.8648681640625,22.781719207763672,20.323293685913086
13,,5361,0.3193848431110382,,,,,,,,
,1e-05,5362,,,,,,,,,
14,,5744,,0.4031032621860504,0.4890446960926056,0.446073979139328,0.025477707386016846,1.0683530569076538,17.595685958862305,22.900123596191406,20.247905731201172
14,,5744,0.3177572190761566,,,,,,,,
