tag,n_seeds,val_dir_f1_macro_mean,val_dir_f1_macro_std,val_fullstop_recall_mean,val_fullstop_recall_std
18_nh512-256_d0.4_l0.001_wd0.0001,3,0.6193,0.0149,0.4352,0.1348
19_nh512-256_d0.4_l0.001_wd0.001,3,0.6215,0.0116,0.4204,0.1337
