epoch,lr-AdamW,step,train_loss,train_loss_dir,train_loss_spd,val_dir_f1_macro,val_f1_A,val_f1_B,val_loss,val_mae_A,val_mae_B
,0.001,0,,,,,,,,,
0,,382,,,,0.5847631096839905,0.5468823313713074,0.6226439476013184,2.470870018005371,18.64792251586914,21.63135528564453
0,,382,2.0328240394592285,1.6533548831939697,0.37947097420692444,,,,,,
,0.001,383,,,,,,,,,
1,,765,,,,0.5467650890350342,0.4630235433578491,0.6305065751075745,2.7438578605651855,20.988203048706055,21.388214111328125
1,,765,1.849861979484558,1.4906787872314453,0.35918280482292175,,,,,,
,0.001,766,,,,,,,,,
2,,1148,,,,0.5473837852478027,0.49396172165870667,0.6008058190345764,2.6440861225128174,20.2113037109375,21.3998966217041
2,,1148,1.782353162765503,1.4316388368606567,0.35071513056755066,,,,,,
,0.001,1149,,,,,,,,,
3,,1531,,,,0.5578580498695374,0.4881123900413513,0.6276037693023682,2.932352066040039,24.871234893798828,22.03953742980957
3,,1531,1.7423763275146484,1.3953288793563843,0.34704795479774475,,,,,,
,0.001,1532,,,,,,,,,
4,,1914,,,,0.5905337929725647,0.5758821964263916,0.605185329914093,2.7086422443389893,18.077566146850586,21.08493423461914
4,,1914,1.6930959224700928,1.3509905338287354,0.3421050012111664,,,,,,
,0.001,1915,,,,,,,,,
5,,2297,,,,0.5969246029853821,0.5732480883598328,0.6206011176109314,3.1325974464416504,21.05457878112793,21.27691078186035
5,,2297,1.6568197011947632,1.3174293041229248,0.339390367269516,,,,,,
,0.001,2298,,,,,,,,,
6,,2680,,,,0.49454548954963684,0.4723057448863983,0.516785204410553,3.384944200515747,20.644817352294922,21.5238037109375
6,,2680,1.6280232667922974,1.2910518646240234,0.3369709253311157,,,,,,
,0.0001,2681,,,,,,,,,
7,,3063,,,,0.5601646304130554,0.5433294177055359,0.5769999027252197,3.400829553604126,20.350303649902344,21.253398895263672
7,,3063,1.5656369924545288,1.2333780527114868,0.3322582244873047,,,,,,
,0.0001,3064,,,,,,,,,
8,,3446,,,,0.5674023032188416,0.563463568687439,0.5713409781455994,3.5877134799957275,20.05790901184082,21.34214210510254
8,,3446,1.538823127746582,1.210113525390625,0.32870861887931824,,,,,,
,0.0001,3447,,,,,,,,,
9,,3829,,,,0.5845727324485779,0.5715003609657288,0.5976451635360718,3.6910152435302734,20.19635581970215,21.243371963500977
9,,3829,1.5301860570907593,1.2025290727615356,0.3276571035385132,,,,,,
,0.0001,3830,,,,,,,,,
10,,4212,,,,0.5591168403625488,0.5535373091697693,0.5646963715553284,3.621432304382324,20.206275939941406,21.417879104614258
10,,4212,1.521407127380371,1.1954903602600098,0.3259166181087494,,,,,,
,0.0001,4213,,,,,,,,,
11,,4595,,,,0.5709507465362549,0.5531905293464661,0.5887109041213989,3.714193105697632,19.961530685424805,21.451522827148438
11,,4595,1.5131083726882935,1.185494065284729,0.3276142477989197,,,,,,
,0.0001,4596,,,,,,,,,
12,,4978,,,,0.5771503448486328,0.5554783344268799,0.5988223552703857,3.4881489276885986,20.68789291381836,21.24036979675293
12,,4978,1.5195740461349487,1.1927026510238647,0.32687094807624817,,,,,,
,0.0001,4979,,,,,,,,,
13,,5361,,,,0.5752848386764526,0.545833945274353,0.604735791683197,3.64786958694458,20.618547439575195,21.35414695739746
13,,5361,1.5063284635543823,1.1806907653808594,0.32563790678977966,,,,,,
,1e-05,5362,,,,,,,,,
14,,5744,,,,0.5785689353942871,0.5575265288352966,0.5996114015579224,3.639399766921997,20.36538314819336,21.322240829467773
14,,5744,1.4923871755599976,1.167025089263916,0.3253610134124756,,,,,,
