epoch,lr-AdamW,step,train_loss,val_dir_f1_A,val_dir_f1_B,val_dir_f1_macro,val_fullstop_recall,val_loss,val_signed_mae_A,val_signed_mae_B,val_signed_mae_avg
,0.001,0,,,,,,,,,
0,,382,,0.3924371004104614,0.4397249221801758,0.4160810112953186,0.0,0.6342777013778687,19.162654876708984,23.0150089263916,21.088830947875977
0,,382,0.3636729419231415,,,,,,,,
,0.001,383,,,,,,,,,
1,,765,,0.4034532308578491,0.4912526607513428,0.44735294580459595,0.006369426846504211,0.5333598256111145,16.640621185302734,22.390369415283203,19.51549530029297
1,,765,0.3430538773536682,,,,,,,,
,0.001,766,,,,,,,,,
2,,1148,,0.35670924186706543,0.5007166862487793,0.42871299386024475,0.0,0.6634612083435059,23.215349197387695,21.69701385498047,22.456180572509766
2,,1148,0.3357466161251068,,,,,,,,
,0.001,1149,,,,,,,,,
3,,1531,,0.4049886167049408,0.4989851713180542,0.4519868791103363,0.0,0.5823962092399597,19.03602409362793,21.510482788085938,20.27325439453125
3,,1531,0.33058464527130127,,,,,,,,
,0.001,1532,,,,,,,,,
4,,1914,,0.418926477432251,0.5180859565734863,0.46850618720054626,0.025477707386016846,0.5764952301979065,17.715227127075195,21.480213165283203,19.597721099853516
4,,1914,0.3260643780231476,,,,,,,,
,0.001,1915,,,,,,,,,
5,,2297,,0.3379959464073181,0.4528845548629761,0.3954402506351471,0.0,0.6327749490737915,19.627655029296875,22.755395889282227,21.191524505615234
5,,2297,0.32414063811302185,,,,,,,,
,0.001,2298,,,,,,,,,
6,,2680,,0.3541887402534485,0.5210373997688293,0.4376130700111389,0.025477707386016846,0.6355783343315125,20.89189338684082,22.2607364654541,21.57631492614746
6,,2680,0.3212849795818329,,,,,,,,
,0.0001,2681,,,,,,,,,
7,,3063,,0.37806588411331177,0.5120589733123779,0.44506242871284485,0.025477707386016846,0.6249877214431763,19.931053161621094,22.296810150146484,21.11393165588379
7,,3063,0.31038403511047363,,,,,,,,
,0.0001,3064,,,,,,,,,
8,,3446,,0.3765183985233307,0.5101984739303589,0.4433584213256836,0.012738853693008423,0.6180613040924072,19.485370635986328,22.316041946411133,20.900705337524414
8,,3446,0.30810707807540894,,,,,,,,
,0.0001,3447,,,,,,,,,
9,,3829,,0.35473138093948364,0.4900450110435486,0.4223881959915161,0.012738853693008423,0.6270800828933716,20.035818099975586,22.272653579711914,21.15423583984375
9,,3829,0.30766168236732483,,,,,,,,
,0.0001,3830,,,,,,,,,
10,,4212,,0.36482158303260803,0.5120090842247009,0.4384153485298157,0.025477707386016846,0.6182901263237,19.516199111938477,22.293127059936523,20.9046630859375
10,,4212,0.30681878328323364,,,,,,,,
,0.0001,4213,,,,,,,,,
11,,4595,,0.3813437819480896,0.45582473278045654,0.41858425736427307,0.012738853693008423,0.6031948924064636,18.69927215576172,22.7268009185791,20.713035583496094
11,,4595,0.30593276023864746,,,,,,,,
,0.0001,4596,,,,,,,,,
12,,4978,,0.36245015263557434,0.46989819407463074,0.41617417335510254,0.006369426846504211,0.6235622763633728,19.581804275512695,22.260313034057617,20.921058654785156
12,,4978,0.3057730793952942,,,,,,,,
,0.0001,4979,,,,,,,,,
13,,5361,,0.3562869131565094,0.48716437816619873,0.42172563076019287,0.006369426846504211,0.6194561719894409,19.540111541748047,22.35311508178711,20.946613311767578
13,,5361,0.30522584915161133,,,,,,,,
,1e-05,5362,,,,,,,,,
14,,5744,,0.3673418164253235,0.48993241786956787,0.4286371171474457,0.012738853693008423,0.6149497628211975,19.294034957885742,22.3037052154541,20.798870086669922
14,,5744,0.30332285165786743,,,,,,,,
