epoch,lr-AdamW,step,train_loss,train_loss_dir,train_loss_spd,val_dir_f1_macro,val_f1_A,val_f1_B,val_loss,val_mae_A,val_mae_B
,0.001,0,,,,,,,,,
0,,1510,,,,0.53825843334198,0.49964264035224915,0.5768741965293884,3.151484727859497,18.830738067626953,19.208524703979492
0,,1510,1.938299536705017,1.5591293573379517,0.3791694939136505,,,,,,
,0.001,1511,,,,,,,,,
1,,3021,,,,0.5435065031051636,0.5031384825706482,0.583874523639679,2.8203630447387695,18.4456729888916,18.315502166748047
1,,3021,1.6948139667510986,1.340806007385254,0.354007750749588,,,,,,
,0.001,3022,,,,,,,,,
2,,4532,,,,0.4759017527103424,0.43636026978492737,0.5154432058334351,3.7145543098449707,22.538618087768555,20.259937286376953
2,,4532,1.5652393102645874,1.2233550548553467,0.34188514947891235,,,,,,
,0.001,4533,,,,,,,,,
3,,6043,,,,0.5232023000717163,0.4923573136329651,0.5540472269058228,3.5166163444519043,18.849750518798828,19.770116806030273
3,,6043,1.4695364236831665,1.1358994245529175,0.3336368799209595,,,,,,
,0.001,6044,,,,,,,,,
4,,7554,,,,0.5053093433380127,0.44692230224609375,0.5636963248252869,4.62200927734375,19.17768096923828,19.0236759185791
4,,7554,1.3913987874984741,1.0641030073165894,0.32729586958885193,,,,,,
,0.001,7555,,,,,,,,,
5,,9065,,,,0.4993934631347656,0.487813264131546,0.5109736323356628,4.038185119628906,18.09192657470703,20.300704956054688
5,,9065,1.336595058441162,1.016437292098999,0.32015782594680786,,,,,,
,0.001,9066,,,,,,,,,
6,,10576,,,,0.5031516551971436,0.49231013655662537,0.5139932036399841,4.378844261169434,15.924417495727539,19.938142776489258
6,,10576,1.2541195154190063,0.9435800909996033,0.31053853034973145,,,,,,
,0.001,10577,,,,,,,,,
7,,12087,,,,0.4740230143070221,0.4531179964542389,0.4949280321598053,5.397703647613525,19.00222396850586,20.438297271728516
7,,12087,1.176973581314087,0.8761472702026367,0.30082666873931885,,,,,,
,0.001,12088,,,,,,,,,
8,,13598,,,,0.4950547218322754,0.5000953674316406,0.49001407623291016,4.71793794631958,15.399737358093262,18.450836181640625
8,,13598,1.122990369796753,0.8304545283317566,0.2925344407558441,,,,,,
,0.001,13599,,,,,,,,,
9,,15109,,,,0.4652235805988312,0.4424901604652405,0.4879570007324219,5.311740398406982,19.262075424194336,20.71558952331543
9,,15109,1.064832091331482,0.7808213829994202,0.2840121388435364,,,,,,
,0.001,15110,,,,,,,,,
10,,16620,,,,0.4719531834125519,0.4559696912765503,0.48793667554855347,4.406318664550781,19.317869186401367,18.702058792114258
10,,16620,1.0427680015563965,0.7625598311424255,0.28020843863487244,,,,,,
,0.001,16621,,,,,,,,,
11,,18131,,,,0.4754875898361206,0.45512673258781433,0.4958484470844269,5.696274757385254,16.309663772583008,19.909467697143555
11,,18131,0.9905258417129517,0.7162207961082458,0.2743047773838043,,,,,,
,0.0001,18132,,,,,,,,,
12,,19642,,,,0.47138580679893494,0.46718621253967285,0.475585401058197,6.0138092041015625,16.74136734008789,20.329322814941406
12,,19642,0.8683122992515564,0.6087465286254883,0.2595656216144562,,,,,,
,0.0001,19643,,,,,,,,,
13,,21153,,,,0.468307763338089,0.4561341106891632,0.4804813861846924,6.191096305847168,17.25951385498047,20.36515998840332
13,,21153,0.8310433626174927,0.5761193037033081,0.2549234628677368,,,,,,
,0.0001,21154,,,,,,,,,
14,,22664,,,,0.4600452780723572,0.4312431216239929,0.48884743452072144,6.407935619354248,17.275968551635742,20.529396057128906
14,,22664,0.8198408484458923,0.5664183497428894,0.2534230351448059,,,,,,
,0.0001,22665,,,,,,,,,
15,,24175,,,,0.4401251971721649,0.43051257729530334,0.4497378468513489,6.581573009490967,17.62069320678711,20.58687400817871
15,,24175,0.7938212156295776,0.5428473353385925,0.25097423791885376,,,,,,
,0.0001,24176,,,,,,,,,
16,,25686,,,,0.46225377917289734,0.4507157802581787,0.4737917482852936,6.710842132568359,16.989805221557617,20.27345848083496
16,,25686,0.7908645868301392,0.5404174327850342,0.25044676661491394,,,,,,
,0.0001,25687,,,,,,,,,
