epoch,lr-AdamW,step,train_loss,train_loss_dir,train_loss_spd,val_dir_f1_macro,val_f1_A,val_f1_B,val_loss,val_mae_A,val_mae_B
,0.001,0,,,,,,,,,
0,,377,,,,0.5131123661994934,0.4635910987854004,0.5626336932182312,2.711596965789795,20.606849670410156,21.131484985351562
0,,377,2.1566057205200195,1.7519725561141968,0.4046318531036377,,,,,,
,0.001,378,,,,,,,,,
1,,755,,,,0.494647741317749,0.43924131989479065,0.550054132938385,2.809330463409424,16.853652954101562,18.380701065063477
1,,755,1.8813962936401367,1.5015579462051392,0.3798389136791229,,,,,,
,0.001,756,,,,,,,,,
2,,1133,,,,0.5029104351997375,0.4014764130115509,0.6043444871902466,3.0866281986236572,22.952491760253906,21.026784896850586
2,,1133,1.7783700227737427,1.410603642463684,0.36776718497276306,,,,,,
,0.001,1134,,,,,,,,,
3,,1511,,,,0.5355063080787659,0.45406395196914673,0.6169486045837402,2.9409470558166504,18.516071319580078,18.64122200012207
3,,1511,1.6933711767196655,1.3297686576843262,0.3636026680469513,,,,,,
,0.001,1512,,,,,,,,,
4,,1889,,,,0.5430355072021484,0.4568350613117218,0.6292359828948975,3.0536997318267822,19.99170684814453,19.112133026123047
4,,1889,1.631788730621338,1.2750627994537354,0.35672610998153687,,,,,,
,0.001,1890,,,,,,,,,
5,,2267,,,,0.5504487156867981,0.4956444799900055,0.6052529215812683,2.9589812755584717,17.00695037841797,18.12662696838379
5,,2267,1.5459867715835571,1.199127197265625,0.34685978293418884,,,,,,
,0.001,2268,,,,,,,,,
6,,2645,,,,0.5254329442977905,0.47723475098609924,0.5736311674118042,3.40840744972229,18.164119720458984,21.63066291809082
6,,2645,1.4851024150848389,1.1425436735153198,0.34255853295326233,,,,,,
,0.001,2646,,,,,,,,,
7,,3023,,,,0.5340905785560608,0.5249661803245544,0.5432149767875671,3.527252674102783,17.717235565185547,20.64313316345215
7,,3023,1.4438252449035645,1.1047366857528687,0.33908769488334656,,,,,,
,0.001,3024,,,,,,,,,
8,,3401,,,,0.49692365527153015,0.5014057755470276,0.4924415349960327,3.739934206008911,15.769350051879883,18.761882781982422
8,,3401,1.346352458000183,1.0135821104049683,0.3327708840370178,,,,,,
,0.001,3402,,,,,,,,,
9,,3779,,,,0.49673140048980713,0.44321104884147644,0.5502517819404602,4.134291172027588,18.93897247314453,18.95958709716797
9,,3779,1.3361923694610596,1.0047223567962646,0.3314702808856964,,,,,,
,0.001,3780,,,,,,,,,
10,,4157,,,,0.5333327651023865,0.5235214829444885,0.5431440472602844,4.242267608642578,18.0376033782959,20.2220401763916
10,,4157,1.2754000425338745,0.9497676491737366,0.3256324827671051,,,,,,
,0.001,4158,,,,,,,,,
11,,4535,,,,0.522401750087738,0.527737557888031,0.5170659422874451,4.162473201751709,15.445351600646973,20.179943084716797
11,,4535,1.2553671598434448,0.9310261607170105,0.3243410885334015,,,,,,
,0.0001,4536,,,,,,,,,
12,,4913,,,,0.5042684078216553,0.4892093539237976,0.5193274617195129,4.3175368309021,16.54183006286621,20.34839630126953
12,,4913,1.1208436489105225,0.806631326675415,0.3142125606536865,,,,,,
,0.0001,4914,,,,,,,,,
13,,5291,,,,0.49104633927345276,0.46488380432128906,0.5172088742256165,4.577541828155518,17.545652389526367,20.654621124267578
13,,5291,1.0864534378051758,0.7797922492027283,0.3066616952419281,,,,,,
,0.0001,5292,,,,,,,,,
14,,5669,,,,0.4845254123210907,0.4510512948036194,0.517999529838562,4.705859184265137,18.67266082763672,20.75511360168457
14,,5669,1.0666882991790771,0.7605854272842407,0.30610355734825134,,,,,,
,0.0001,5670,,,,,,,,,
15,,6047,,,,0.477679967880249,0.45416444540023804,0.50119549036026,4.807671070098877,17.9354190826416,20.814069747924805
15,,6047,1.0448004007339478,0.7414795160293579,0.30332115292549133,,,,,,
,0.0001,6048,,,,,,,,,
